Week Ending Date,Metric,Category,Waiting Bands,Count
2021-11-28T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,532000
2021-11-28T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,95455
2021-11-28T00:00:00.000Z,Age,Over 65 Years,Total,1810120
2021-11-28T00:00:00.000Z,Sex,Female,Unknown Clock Start,9550
2021-11-28T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1906720
2021-11-28T00:00:00.000Z,Sex,Female,18 To 52 Weeks,931185
2021-11-28T00:00:00.000Z,Sex,Female,Over 52 Weeks,159960
2021-11-28T00:00:00.000Z,Sex,Female,Total,3007420
2021-11-28T00:00:00.000Z,Sex,Male,Unknown Clock Start,6210
2021-11-28T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1460465
2021-11-28T00:00:00.000Z,Sex,Male,18 To 52 Weeks,708715
2021-11-28T00:00:00.000Z,Sex,Male,Over 52 Weeks,132590
2021-11-28T00:00:00.000Z,Sex,Male,Total,2307985
2021-12-05T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,885
2021-12-05T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,411475
2021-12-05T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,186325
2021-12-05T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26985
2021-12-05T00:00:00.000Z,Age,0-18 Years,Total,625670
2021-12-05T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,9920
2021-12-05T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1889265
2021-12-05T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,999880
2021-12-05T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,185730
2021-12-05T00:00:00.000Z,Age,19-64 Years,Total,3084795
2021-12-05T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,5790
2021-12-05T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1190950
2021-12-05T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,545260
2021-12-05T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,97570
2021-12-05T00:00:00.000Z,Age,Over 65 Years,Total,1839575
2021-12-05T00:00:00.000Z,Sex,Female,Unknown Clock Start,9660
2021-12-05T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1926035
2021-12-05T00:00:00.000Z,Sex,Female,18 To 52 Weeks,948370
2021-12-05T00:00:00.000Z,Sex,Female,Over 52 Weeks,164330
2021-12-05T00:00:00.000Z,Sex,Female,Total,3048395
2021-12-05T00:00:00.000Z,Sex,Male,Unknown Clock Start,6585
2021-12-05T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1480395
2021-12-05T00:00:00.000Z,Sex,Male,18 To 52 Weeks,723720
2021-12-05T00:00:00.000Z,Sex,Male,Over 52 Weeks,136105
2021-12-05T00:00:00.000Z,Sex,Male,Total,2346805
2021-12-12T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,545
2021-12-12T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,411950
2021-12-12T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,186680
2021-12-12T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26630
2021-12-12T00:00:00.000Z,Age,0-18 Years,Total,625800
2021-12-12T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,8370
2021-12-12T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1881535
2021-12-12T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,1000990
2021-12-12T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,187020
2021-12-12T00:00:00.000Z,Age,19-64 Years,Total,3077920
2021-12-12T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,4900
2021-12-12T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1184080
2021-12-12T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,549080
2021-12-12T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,97795
2021-12-12T00:00:00.000Z,Age,Over 65 Years,Total,1835855
2021-12-12T00:00:00.000Z,Sex,Female,Unknown Clock Start,8210
2021-12-12T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1919745
2021-12-12T00:00:00.000Z,Sex,Female,18 To 52 Weeks,952600
2021-12-12T00:00:00.000Z,Sex,Female,Over 52 Weeks,165540
2021-12-12T00:00:00.000Z,Sex,Female,Total,3046095
2021-12-12T00:00:00.000Z,Sex,Male,Unknown Clock Start,5425
2021-12-12T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1476575
2021-12-12T00:00:00.000Z,Sex,Male,18 To 52 Weeks,726355
2021-12-12T00:00:00.000Z,Sex,Male,Over 52 Weeks,135815
2021-12-12T00:00:00.000Z,Sex,Male,Total,2344170
2021-12-19T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,680
2021-12-19T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,423175
2021-12-19T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,189050
2021-12-19T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,27095
2021-12-19T00:00:00.000Z,Age,0-18 Years,Total,640000
2021-12-19T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,9090
2021-12-19T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1921765
2021-12-19T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,1021515
2021-12-19T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,188930
2021-12-19T00:00:00.000Z,Age,19-64 Years,Total,3141305
2021-12-19T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,5575
2021-12-19T00:00:00.000Z,Age,Over 65 Years,01 To 18 Weeks,1206100
2021-12-19T00:00:00.000Z,Age,Over 65 Years,18 To 52 Weeks,562415
2021-12-19T00:00:00.000Z,Age,Over 65 Years,Over 52 Weeks,98325
2021-12-19T00:00:00.000Z,Age,Over 65 Years,Total,1872420
2021-12-19T00:00:00.000Z,Sex,Female,Unknown Clock Start,9030
2021-12-19T00:00:00.000Z,Sex,Female,01 To 18 Weeks,1961980
2021-12-19T00:00:00.000Z,Sex,Female,18 To 52 Weeks,973760
2021-12-19T00:00:00.000Z,Sex,Female,Over 52 Weeks,167320
2021-12-19T00:00:00.000Z,Sex,Female,Total,3112090
2021-12-19T00:00:00.000Z,Sex,Male,Unknown Clock Start,6195
2021-12-19T00:00:00.000Z,Sex,Male,01 To 18 Weeks,1511545
2021-12-19T00:00:00.000Z,Sex,Male,18 To 52 Weeks,742005
2021-12-19T00:00:00.000Z,Sex,Male,Over 52 Weeks,136870
2021-12-19T00:00:00.000Z,Sex,Male,Total,2396615
2021-12-26T00:00:00.000Z,Age,0-18 Years,Unknown Clock Start,380
2021-12-26T00:00:00.000Z,Age,0-18 Years,01 To 18 Weeks,395700
2021-12-26T00:00:00.000Z,Age,0-18 Years,18 To 52 Weeks,181545
2021-12-26T00:00:00.000Z,Age,0-18 Years,Over 52 Weeks,26060
2021-12-26T00:00:00.000Z,Age,0-18 Years,Total,603680
2021-12-26T00:00:00.000Z,Age,19-64 Years,Unknown Clock Start,4585
2021-12-26T00:00:00.000Z,Age,19-64 Years,01 To 18 Weeks,1771210
2021-12-26T00:00:00.000Z,Age,19-64 Years,18 To 52 Weeks,963010
2021-12-26T00:00:00.000Z,Age,19-64 Years,Over 52 Weeks,176330
2021-12-26T00:00:00.000Z,Age,19-64 Years,Total,2915130
2021-12-26T00:00:00.000Z,Age,Over 65 Years,Unknown Clock Start,2670
